time,type,x,y,velocity,angle,pos,
3.555,path,0.6415440884013655,2.248194164880452,-4.0,-3.247803588912663,12.239999999999826,
3.555,robot,0.6619029700810743,2.2474596726032146,0,-3.248198072707919,0,
3.56,path,0.6614065288278779,2.245853126996754,-4.0,-3.257295708481813,12.259999999999826,
3.56,robot,0.681760887762083,2.245139815032244,0,-3.2578883156800016,0,
3.565,path,0.6812455461591824,2.2433212830656664,-4.0,-3.2670282176667493,12.279999999999825,
3.565,robot,0.7015951498635439,2.2426227282834117,0,-3.267823876895727,0,
3.5700000000000003,path,0.7010586471489928,2.2405940663364765,-4.0,-3.2770049084279025,12.299999999999825,
3.5700000000000003,robot,0.7214031671706461,2.2399037125667345,0,-3.278008549715051,0,
3.575,path,0.7208431881554,2.237666874456435,-4.0,-3.2872294076763113,12.319999999999824,
3.575,robot,0.7411821935048816,2.2369780352825965,0,-3.2884459577289062,0,
3.58,path,0.7405963698246447,2.2345350768089434,-4.0,-3.2977051466001477,12.339999999999824,
3.58,robot,0.7609293202365636,2.2338409389255798,0,-3.2991395231653877,0,
3.585,path,0.7603152318531023,2.231194022742833,-4.0,-3.3084353276326253,12.359999999999824,
3.585,robot,0.7806414710219979,2.2304876499133135,0,-3.310092432851603,0,
3.59,path,0.7799966482029967,2.2276390506887944,-4.0,-3.3194228892356827,12.379999999999823,
3.59,robot,0.8003153968413611,2.226913388382894,0,-3.3213076019088605,0,
3.595,path,0.7996373224286746,2.223865498270983,-4.0,-3.330670468323831,12.399999999999823,
3.595,robot,0.8199476714135432,2.2231133789986255,0,-3.332787635000639,0,
3.6,path,0.8192337836900729,2.2198687133633106,-4.0,-3.342180360689378,12.419999999999822,
3.6,robot,0.8395346870807513,2.219082862801595,0,-3.3445347855040186,0,
3.605,path,0.8387823830352397,2.215644066209118,-4.0,-3.353954479285523,12.439999999999822,
3.605,robot,0.8590726512541649,2.214817110131279,0,-3.3565509124585717,0,
3.61,path,0.8582792903641678,2.211186962569858,-4.0,-3.3659943107330834,12.459999999999821,
3.61,robot,0.8785575835247772,2.2103114346353,0,-3.368837435670199,0,
3.615,path,0.8777204923048911,2.206492857874059,-4.0,-3.378300870394849,12.479999999999821,
3.615,robot,0.8979853135524183,2.2055612083693874,0,-3.3813952893266244,0,
3.62,path,0.897101790674192,2.2015572724587207,-4.0,-3.3908746560744607,12.49999999999982,
3.62,robot,0.9173514798438822,2.2005618779832625,0,-3.394224874187984,0,
3.625,path,0.9164188020234381,2.1963758078004547,-4.0,-3.4037156009675753,12.51999999999982,
3.625,robot,0.936651529542466,2.195308981966134,0,-3.407326009003687,0,
3.63,path,0.9356669581744415,2.1909441637493696,-4.0,-3.4168230262049155,12.53999999999982,
3.63,robot,0.9558807193504543,2.1897981689112562,0,-3.42069788151276,0,
3.6350000000000002,path,0.9548415080491073,2.185258156662882,-4.0,-3.4301955936580644,12.55999999999982,
3.6350000000000002,robot,0.9750341177103523,2.1840252167357024,0,-3.4343389997270584,0,
3.64,path,0.9739375205799434,2.1793137384596433,-4.0,-3.4438312594088965,12.579999999999819,
3.64,robot,0.994106608363628,2.177986052776191,0,-3.4482471439212894,0,
3.645,path,0.9929498892748789,2.1731070163675827,-4.0,-3.4577272288995724,12.599999999999818,
3.645,robot,1.0130928954097664,2.1716767746494194,0,-3.4624193203888005,0,
3.65,path,1.0118733382449858,2.166634273327144,-4.0,-3.4718799143393735,12.619999999999818,
3.65,robot,1.0319875099760691,2.1650936717462046,0,-3.476851717571009,0,
3.6550000000000002,path,1.0307024296854088,2.1598919889530093,-4.0,-3.4862848951158156,12.639999999999818,
3.6550000000000002,robot,1.0507848185963244,2.158233247205904,0,-3.49153966534562,0,
3.66,path,1.049431573290386,2.152876860755713,-4.0,-3.500936882392307,12.659999999999817,
3.66,robot,1.0694790333890607,2.151092240183061,0,-3.50647759870709,0,
3.665,path,1.0680550373174196,2.1455858255482454,-4.0,-3.5158296885600677,12.679999999999817,
3.665,robot,1.088064224101786,2.143667648200312,0,-3.521659026544147,0,
3.67,path,1.0865669614943854,2.1380160807782262,-4.0,-3.530956202592648,12.699999999999816,
3.67,robot,1.1065343320679673,2.1359567493542033,0,-3.5370765066104246,0,
3.6750000000000003,path,1.1049613718231668,2.1301651055361743,-4.0,-3.5463083722680295,12.719999999999816,
3.6750000000000003,robot,1.1248831860977575,2.1279571241175117,0,-3.552721627697599,0,
3.68,path,1.1232321971500614,2.122030681037909,-4.0,-3.56187719406162,12.739999999999815,
3.68,robot,1.1431045202913868,2.119666676465586,0,-3.568584999852046,0,
3.685,path,1.1413732876327245,2.1136109102450953,-4.0,-3.577652711690063,12.759999999999815,
3.685,robot,1.1611919937334458,2.1110836540349878,0,-3.5846562536548645,0,
3.69,path,1.1593784348850074,2.104904236407844,-4.0,-3.593624023934958,12.779999999999815,
3.69,robot,1.1791392119874982,2.1022066670164,0,-3.6009240492199646,0,
3.6950000000000003,path,1.1772413937919444,2.095909460204254,-4.0,-3.609779302456179,12.799999999999814,
3.6950000000000003,robot,1.1969397502736863,2.0930347054771485,0,-3.61737609564284,0,
3.7,path,1.1949559058122636,2.08662575521116,-4.0,-3.626105820034603,12.819999999999814,
3.7,robot,1.214587178171779,2.083567154812393,0,-3.633999181348837,0,
3.705,path,1.2125157235900241,2.077052681431324,-4.0,-3.6425899895332847,12.839999999999813,
3.705,robot,1.2320750856525935,2.0738038090341573,0,-3.6507792156277388,0,
3.71,path,1.2299146366823321,2.067190196604554,-4.0,-3.6592174136769664,12.859999999999813,
3.71,robot,1.2493971102027848,2.0637448816246717,0,-3.667701281439525,0,
3.715,path,1.2471464981285498,2.057038665076904,-4.0,-3.6759729454758983,12.879999999999812,
3.715,robot,1.2665469647719314,2.0533910137072255,0,-3.6847496992866775,0,
3.72,path,1.2642052515902007,2.0465988640144746,-4.0,-3.6928407589068257,12.899999999999812,
3.72,robot,1.2835184662393682,2.042743279321324,0,-3.7019081017217292,0,
3.725,path,1.281084958728659,2.03587198680651,-4.0,-3.7098044291791146,12.919999999999812,
3.725,robot,1.3003055640715995,2.0318031876310694,0,-3.7191595177588153,0,
3.73,path,1.29777982657675,2.024859643477158,-4.0,-3.726847021776928,12.939999999999811,
3.73,robot,1.3169023688226775,2.020572681940732,0,-3.7364864663113067,0,
3.735,path,1.314284234470938,2.0135638580800794,-4.0,-3.7439511890620203,12.95999999999981,
3.735,robot,1.3333031801166324,2.0090541354476104,0,-3.7538710573550316,0,
3.74,path,1.3305927602671979,2.0019870630036207,-4.0,-3.761099273171512,12.97999999999981,
3.74,robot,1.3495025137486811,1.997250343716954,0,-3.7712950994626935,0,
3.745,path,1.3467002053929948,1.990132090285257,-4.0,-3.7782734135892397,12.99999999999981,
3.745,robot,1.3654951275462635,1.985164513926573,0,-3.788740211988574,0,
3.75,path,1.362601618724813,1.978002159781542,-4.0,-3.79545565808212,13.01999999999981,
3.75,robot,1.3812760456497761,1.9728002509764873,0,-3.806187940506738,0,
3.755,path,1.378292318285948,1.965600864840696,-4.0,-3.812628074520216,13.039999999999809,
3.755,robot,1.3968405808881037,1.960161540642133,0,-3.823619872903025,0,
3.7600000000000002,path,1.393767911605647,1.952932154816288,-4.0,-3.829772863008749,13.059999999999809,
3.7600000000000002,robot,1.412184354970107,1.9472527299618079,0,-3.8410177554932927,0,
3.765,path,1.409024313141853,1.9400003156867744,-4.0,-3.8468724651040933,13.079999999999808,
3.765,robot,1.4273033162359503,1.934078505148712,0,-3.8583636058146604,0,
3.77,path,1.4240577599878592,1.9268099479203153,-4.0,-3.863909669972845,13.099999999999808,
3.77,robot,1.4421937547750314,1.9206438673044428,0,-3.875639821923595,0,
3.775,path,1.438864824133431,1.9133659431867929,-4.0,-3.8808677141611767,13.119999999999807,
3.775,robot,1.4568523147491708,1.906954106306195,0,-3.892829284761449,0,
3.7800000000000002,path,1.4534424230356717,1.8996734586453645,-4.0,-3.8977303756408794,13.139999999999807,
3.7800000000000002,robot,1.4712760038332984,1.8930147731889688,0,-3.9099154542733316,0,
3.785,path,1.4677878263853703,1.8857378909582059,-4.0,-3.914482058565424,13.159999999999807,
3.785,robot,1.4854621997174382,1.878831651442766,0,-3.926882455624262,0,
3.79,path,1.4818986610626137,1.87156484857078,-4.0,-3.931107870009911,13.179999999999806,
3.79,robot,1.4994086536883608,1.8644107275660637,0,-3.9437151568445232,0,
3.795,path,1.4957729126283472,1.857160124174244,-4.0,-3.9475936859701326,13.199999999999806,
3.795,robot,1.5131134913421151,1.8497581612840754,0,-3.960399235135255,0,
3.8000000000000003,path,1.5094089245440765,1.8425296666552158,-4.0,-3.963926207372727,13.219999999999805,
3.8000000000000003,robot,1.5265752105377042,1.8348802557791675,0,-3.976921232647172,0,
3.805,path,1.5228053948487905,1.8276795532146493,-4.0,-3.980093005362571,13.239999999999805,
3.805,robot,1.5397926767387322,1.8197834282772838,0,-3.9932686010242584,0,
3.81,path,1.5359613705224868,1.8126159618815723,-4.0,-3.9960825559073374,13.259999999999804,
